GSM1358650	GSM1358651	GSM1358652	GSM1358653	GSM1358654	GSM1358655	GSM1358656	GSM1358657	GSM1358658	GSM1358659	GSM1358660	GSM1358661	GSM1358662	GSM1358663	GSM1358664
AB020674	1283.216332	549.20548	1413.078601	1851.154561	245.3265685	466.1287178	1219.429254	1523.499508	1081.924056	584.9856565	547.2904938	359.5306202	63.08432531	254.3306094	1126.677919
AB020696	820.449475	819.7677697	1577.78118	212.8823367	293.8255775	675.0459561	332.3669984	251.7066745	522.0649206	780.3252146	733.5670053	1031.699866	1749.071139	652.6472165	460.8085105
AB020699	1427.551853	2150.649618	1638.597881	2965.880009	1921.015092	3028.147086	2065.010425	1960.228258	1709.043675	966.1798382	1436.173641	983.2960959	256.8361174	202.3808885	2164.811979
AB020701	12.12348884	18.09788195	726.9021105	150.7756029	135.1822968	1389.656727	26.4789101	26.04592514	95.94646586	164.9536973	54.33098116	118.025806	1713.670456	661.6877396	12.91774088
AB020703	658.4195495	227.199694	26.82858649	1377.79704	1485.385293	248.5128925	1080.494594	1148.990508	1059.310722	327.7478214	368.1622741	448.2128158	231.1543019	122.0671602	610.2634257
AB020709	39.08402429	20.76772601	141.6318699	19.57760111	43.9321267	34.74729906	11.55816598	18.62620541	63.34393771	48.81619714	960.0579419	766.1438503	1224.598978	120.2248121	15.18596129
AB020711	178.2327316	14.97662743	23.26108252	152.3306349	20.59048168	35.46974679	623.9011646	863.3440592	87.81378365	90.86441032	333.2397026	116.2213362	101.7915014	67.18971403	180.916944
AB020714	2300.023974	2687.993321	2973.561582	2693.240565	3259.666523	2103.252164	1835.807757	2024.659777	3827.35304	5427.514781	3961.365062	4771.049332	3754.797309	1738.673333	3674.344275
AB020721	48.87630505	91.77288198	25.50616239	163.6455342	47.81168237	13.86995625	704.734026	998.510096	211.7923263	32.18658816	62.42867728	21.48383105	27.25814125	37.09194775	308.7251765
AB020735	1227.648194	469.4434337	183.3144176	130.8571699	529.6617557	570.890969	75.54018694	90.80076001	278.3754663	286.7904918	1174.696782	357.6224924	361.8116585	417.914687	245.3991339
AB021642	706.8027302	138.8333557	847.8987151	286.9503381	163.6266239	168.3342536	2075.366361	100.1009866	927.6604958	34.13422042	398.9929834	24.71913728	1003.208061	428.5674803	2593.075753
AB021643	3766.958826	1789.995528	102.0099155	12.59546123	202.192837	169.9617011	1037.147814	1063.990406	1333.487686	1049.482481	597.8771196	688.9344343	757.7890383	72.61019685	1674.893871
AB021660	280.3729006	158.4151597	549.0000111	299.9157884	387.3344333	17.68780097	1123.316281	451.6419191	932.7951273	44.21326289	125.1342262	193.2161385	194.5786166	25.02708502	843.462741
AB022434	1491.467476	544.0781895	65.66759142	187.4683741	581.5323039	466.1287178	221.0183778	84.38945745	489.1713446	778.3354927	1139.887872	242.0289239	109.3870785	403.3853482	141.2464529
AB023144	10.97488743	55.74094398	123.7699886	32.00794966	398.291876	42.13971906	12.84245744	12.14627981	367.5188262	362.1690841	48.54867455	125.8990528	457.3317987	943.6438604	10.22498198
AB023162	727.8594418	494.8911459	311.4255308	459.4978313	321.5587559	638.360509	768.0292409	1363.348286	384.5706612	117.8419573	2010.833036	114.2890184	134.1108539	83.88894604	255.8265334
AB023164	439.5215139	1346.391146	15.53938603	338.5129564	2448.191666	267.9625687	425.4038701	1446.906439	753.2817016	37.26257021	358.5181331	62.21225894	845.2283175	13.79074636	31.08898191
AB023174	72.86411285	22.39542923	108.580177	12.89831922	25.12050363	491.8500706	424.3887469	289.5824326	326.6872881	75.59482587	213.1155569	85.34385821	224.2349234	63.34095171	227.2515167
AB023202	173.3223828	33.01997493	405.4314925	81.10904043	230.3659576	112.8930039	67.77787398	15.2078024	34.28543825	74.00834452	510.0483149	26.61863131	152.518601	57.44316853	87.64858405
AB023209	2838.503614	2144.723891	2264.203479	3307.06641	4027.459669	537.8860978	4714.875961	4619.045062	6402.550792	5739.583714	2531.341345	5707.052871	3419.478995	3246.160287	2877.754621
AB023213	28.17824385	18.33477937	59.94705391	876.2086638	1537.730791	779.6387563	357.2264108	803.8986586	668.4043472	14.28137044	15.00309837	1401.675119	214.2562009	1393.893391	1575.675524
AB023223	103.7957403	309.5715304	12.38728258	105.7824701	34.14837052	39.52088958	16.62813637	13.88681659	205.7505685	58.52664287	11.3031322	134.268731	174.6718024	437.7004604	12.44596293
